iteration,residual,delta_residual,coherence,delta_coherence,N,value,weight,capacity,feasible
80,0.000412,-0.002223,0.661938,-0.028087,3.132,10119,1000,1000,1
81,0.000130,-0.000282,0.653540,-0.008398,3.131,10119,1000,1000,1
82,0.000013,-0.000117,0.773562,0.120022,3.130,10119,1000,1000,1
83,0.002610,0.002597,0.685856,-0.087706,3.131,10119,1000,1000,1
84,0.000854,-0.001756,0.660481,-0.025376,3.131,10119,1000,1000,1
85,0.000085,-0.000769,0.775644,0.115164,3.130,10119,1000,1000,1
86,0.000009,-0.000077,0.810193,0.034549,3.131,10119,1000,1000,1
87,0.000001,-0.000008,0.820558,0.010365,3.133,10119,1000,1000,1
88,0.000000,-0.000001,0.823667,0.003109,3.135,10119,1000,1000,1
89,0.000593,0.000593,0.701824,-0.121844,3.136,10119,1000,1000,1
90,0.002668,0.002075,0.664335,-0.037489,3.134,10119,1000,1000,1
91,0.001038,-0.001631,0.653941,-0.010394,3.132,10119,1000,1000,1
92,0.000193,-0.000845,0.651141,-0.002800,3.131,10119,1000,1000,1
93,0.000168,-0.000025,0.650273,-0.000868,3.129,10119,1000,1000,1
94,0.002626,0.002458,0.648870,-0.001403,3.128,10119,1000,1000,1
95,0.000263,-0.002363,0.772161,0.123291,3.128,10119,1000,1000,1
96,0.000026,-0.000236,0.809148,0.036987,3.130,10119,1000,1000,1
97,0.002612,0.002585,0.696532,-0.112616,3.132,10119,1000,1000,1
98,0.000261,-0.002350,0.786460,0.089927,3.131,10119,1000,1000,1
99,0.000026,-0.000235,0.813438,0.026978,3.133,10119,1000,1000,1
